source_provider_name,source_health_system,source_geography,source_service_line,source_market,source_period,source_volume,payer_type,data_source,source_file
LUMINIS,Luminis Health,Maryland,Emerg Svcs,Virginia Demo Market,Q4/2022,963.0,All Payer,mock_source_v2,provider_volume_2019_2023.csv
hca hlth va,HCA Healthcare,Richmond,Orthopedics,Virginia Demo Market,2021 Q4,1220.0,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
LUMINIS HEALTH,Luminis Health,Maryland,GI Services,Virginia Demo Market,2021-Q1,298,All Payer,mock_source_v2,provider_volume_2019_2023.csv
vcu health,VCU Health System,Richmond,Oncology Services,Virginia Demo Market,Q4/2021,3245,All Payer,mock_source_v2,provider_volume_2019_2023.csv
NOVANT,Novant Health,Northern Virginia,BEHAVIORAL HEALTH,Virginia Demo Market,2022 Q1,229,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
HCA Healthcare VA,HCA Healthcare,Richmond,BH,Virginia Demo Market,2023-Q4,347,,mock_source_v2,provider_volume_2019_2023.csv
MedStar,MedStar Health,DC Metro,behav hlth,Virginia Demo Market,Oct-Dec 2020,478,Unknown,mock_source_v2,vol_export_final.csv
HCA,HCA Healthcare,Richmond,ONCOLOGY,Virginia Demo Market,2021 Q1,486,All Payer,mock_source_v2,vol_export_final.csv
INOVA Loudoun,Inova Health System,Northern Virginia,emergency services,Virginia Demo Market,2023 Q2,955,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
inova loudoun,Inova Health System,Northern Virginia,Neurological Svcs,Virginia Demo Market,Q1 2020,294,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Sentara Health,,Hampton Roads,ONC,Virginia Demo Market,Q2-2023,896,Unknown,mock_source_v2,vol_export_final.csv
UVA Healthcare,UVA Health,Charlottesville,Heart Services,Virginia Demo Market,Jan-Mar 2019,976,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
inova,Inova Health System,Northern Virginia,ortho,Virginia Demo Market,Q2/2021,2840,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Carilion Health,Carilion Clinic,Roanoke,NEUROLOGY,Virginia Demo Market,2022 Q3,706,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
HCA Virginia,HCA Healthcare,Richmond,women's health,Virginia Demo Market,Q1 2019,947,Medicaid,mock_source_v2,vol_export_final.csv
INOVA LOUDOUN,Inova Health System,Northern Virginia,gi services,Virginia Demo Market,2022-Q3,264,Commercial,mock_source_v2,vol_export_final.csv
UVA Healthcare,UVA Health,Charlottesville,card.,Virginia Demo Market,Q2-2019,885.0,Medicare,mock_source_v2,provider_volume_2019_2023.csv
privia health,Privia Health Group,Northern Virginia,WOMENS HEALTH,Virginia Demo Market,Jan-Mar 2023,622,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
,,,,,,,,,
PRIVIA HEALTH GROUP,Privia Health Group,Northern Virginia,ED,Virginia Demo Market,Oct-Dec 2019,109,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Privia Health,Privia Health Group,Northern Virginia,women's health,Virginia Demo Market,2019 Q1,483,Medicare,mock_source_v2,vol_export_final.csv
NovantHlth,Novant Health,Northern Virginia,CARD,Virginia Demo Market,Jan-Mar 2022,802,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
Inova Loudoun,Inova Health System,Northern Virginia,neuro services,Virginia Demo Market,Q2/2020,131,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Bon Secours Mercy,Bon Secours Mercy Health,Richmond,OB/GYN,Virginia Demo Market,Q4/2023,1299,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Novant,Novant Health,Northern Virginia,GI Services,Virginia Demo Market,2021-Q2,328,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Carilion,Carilion Clinic,Roanoke,Musculoskeletal,Virginia Demo Market,2020 Q2,343,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Sentara,,Hampton Roads,neuro services,Virginia Demo Market,Q1/2019,780,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
INOVA,Inova Health System,Northern Virginia,Womens Health,Virginia Demo Market,Oct-Dec 2020,"1,619",Medicare,mock_source_v2,vol_export_FINAL_v2.csv
luminis health,Luminis Health,Maryland,Behavioral Health,Virginia Demo Market,2020-Q1,201,Unknown,mock_source_v2,provider_volume_2019_2023.csv
Inova Loudoun,Inova Health System,Northern Virginia,BH,Virginia Demo Market,2021-Q4,177,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Bon Secours Mercy,Bon Secours Mercy Health,Richmond,Womens Health,Virginia Demo Market,2021 Q1,1263,Medicare,mock_source_v2,vol_export_final.csv
privia health,Privia Health Group,Northern Virginia,Neurological Svcs,Virginia Demo Market,2021 Q3,236,All Payer,mock_source_v2,vol_export_final.csv
carilion clinic,Carilion Clinic,Roanoke,Behavioral Health,Virginia Demo Market,2023 Q4,416,Unknown,mock_source_v2,provider_volume_2019_2023.csv
hca virginia,HCA Healthcare,Richmond,Neuro,Virginia Demo Market,2022-Q3,534,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
BSMH,Bon Secours Mercy Health,Richmond,Heart Services,Virginia Demo Market,2021-Q3,861,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
UVA Healthcare,UVA Health,Charlottesville,ORTHOPEDICS,Virginia Demo Market,2020 Q3,756,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
Bon Secours Mercy,Bon Secours Mercy Health,Richmond,behav hlth,Virginia Demo Market,2019-Q4,198.0,Medicare,mock_source_v2,vol_export_final.csv
UVA Healthcare,UVA Health,Charlottesville,oncology,Virginia Demo Market,2023 Q4,1363 cases,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Privia Health,Privia Health Group,Northern Virginia,Cardiology,Virginia Demo Market,Q3-2023,510,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
SENTARA HEALTH,Sentara Healthcare,Hampton Roads,Heart Services,Virginia Demo Market,2020-Q3,1082,All Payer,mock_source_v2,vol_export_final.csv
Virginia Commonwealth,VCU Health System,Richmond,ORTHO,Virginia Demo Market,Q2-2019,1052,Unknown,mock_source_v2,provider_volume_2019_2023.csv
uva health,UVA Health,Charlottesville,cardiac services,Virginia Demo Market,Q3 2021,935,All Payer,mock_source_v2,provider_volume_2019_2023.csv
inova health,Inova Health System,Northern Virginia,Oncology,Virginia Demo Market,Apr-Jun 2021,1480,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Privia Hlth,Privia Health Group,Northern Virginia,BEHAVIORAL HEALTH,Virginia Demo Market,2019 Q1,306,Medicaid,mock_source_v2,vol_export_final.csv
Inova Loudoun,Inova Health System,Northern Virginia,ED,Virginia Demo Market,2019 Q4,956,Commercial,mock_source_v2,vol_export_final.csv
UNIVERSITY OF VIRGINIA HEALTH,,Charlottesville,WOMENS HEALTH,Virginia Demo Market,Oct-Dec 2023,910,All Payer,mock_source_v2,provider_volume_2019_2023.csv
BSMH,Bon Secours Mercy Health,Richmond,BEHAVIORAL HEALTH,Virginia Demo Market,Q2/2020,ERROR,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
PRIVIA HEALTH GROUP,Privia Health Group,Northern Virginia,Neurology,Virginia Demo Market,Q1 2019,200,Medicare,mock_source_v2,provider_volume_2019_2023.csv
NOVANT,Novant Health,Northern Virginia,WOMENS HEALTH,Virginia Demo Market,Apr-Jun 2021,732,All Payer,mock_source_v2,provider_volume_2019_2023.csv
BSMH,Bon Secours Mercy Health,Richmond,Emerg Svcs,Virginia Demo Market,2019-Q4,1521,Medicaid,mock_source_v2,vol_export_final.csv
luminis health,Luminis Health,Maryland,G.I.,Virginia Demo Market,2021 Q2,318,Medicare,mock_source_v2,provider_volume_2019_2023.csv
Carilion Clinic,Carilion Clinic,Roanoke,ortho,Virginia Demo Market,Q1/2020,583,All Payer,mock_source_v2,vol_export_final.csv
INOVA,Inova Health System,Northern Virginia,women's health,,2020 Q1,1838,Unknown,mock_source_v2,provider_volume_2019_2023.csv
Privia,Privia Health Group,Northern Virginia,gi services,Virginia Demo Market,2020-Q1,245,All Payer,mock_source_v2,vol_export_final.csv
INOVA,Inova Health System,Northern Virginia,BH,Virginia Demo Market,2019-Q1,596,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Privia,Privia Health Group,Northern Virginia,Orthopedics,Virginia Demo Market,Q2-2022,462,Medicare,mock_source_v2,vol_export_final.csv
vcu,VCU Health System,Richmond,Womens Health,Virginia Demo Market,2021 Q3,883,Medicare,mock_source_v2,vol_export_final.csv
SENTARA,Sentara Healthcare,Hampton Roads,behav hlth,Virginia Demo Market,Q1-2023,479 cases,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
MedStar Health,MedStar Health,DC Metro,Psychiatry,Virginia Demo Market,Q4/2021,577,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
MedStar,MedStar Health,DC Metro,womens hlth,Virginia Demo Market,Q4-2023,1169,,mock_source_v2,vol_export_final.csv
Carilion Clinic,Carilion Clinic,Roanoke,Oncology,Virginia Demo Market,Q2/2021,0,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
MEDSTAR HEALTH,MedStar Health,DC Metro,EMERGENCY,Virginia Demo Market,Jan-Mar 2020,1931,All Payer,mock_source_v2,vol_export_final.csv
LUMINIS HEALTH,Luminis Health,Maryland,Neurological Svcs,Virginia Demo Market,2023 Q1,378,Unknown,mock_source_v2,provider_volume_2019_2023.csv
Bon Secours,Bon Secours Mercy Health,Richmond,ED,Virginia Demo Market,Q4-2022,1493,Commercial,mock_source_v2,vol_export_final.csv
HCA Healthcare VA,HCA Healthcare,Richmond,Psych,Virginia Demo Market,Q4/2019,,All Payer,mock_source_v2,vol_export_final.csv
sentara hlth,,Hampton Roads,ORTHO,Virginia Demo Market,2021 Q3,1612,All Payer,mock_source_v2,vol_export_final.csv
carilion clinic,Carilion Clinic,Roanoke,E.D.,Virginia Demo Market,2022-Q4,1221,Commercial,mock_source_v2,vol_export_FINAL_v2.csv
NOVANT,Novant Health,Northern Virginia,WOMENS HEALTH,Virginia Demo Market,Q3 2022,770,,mock_source_v2,vol_export_final.csv
SENTARA HEALTH,Sentara Healthcare,Hampton Roads,Women's Health,Virginia Demo Market,Q1/2021,1600,,mock_source_v2,provider_volume_2019_2023.csv
MEDSTAR HEALTH,MedStar Health,DC Metro,Neurology,Virginia Demo Market,2020-Q3,648,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
LUMINIS,Luminis Health,Maryland,BEHAVIORAL HEALTH,Virginia Demo Market,2023 Q2,231,Medicare,mock_source_v2,provider_volume_2019_2023.csv
INOVA Loudoun,Inova Health System,Northern Virginia,card.,Virginia Demo Market,Q1/2023,700,Commercial,mock_source_v2,provider_volume_2019_2023.csv
LUMINIS,,Maryland,ORTHO,Virginia Demo Market,Q2-2020,299,Medicaid,mock_source_v2,vol_export_final.csv
Inova Loudoun,,Northern Virginia,Oncology,Virginia Demo Market,2020 Q2,134,All Payer,mock_source_v2,vol_export_final.csv
LUMINIS,Luminis Health,Maryland,Women's Health,Virginia Demo Market,2023 Q2,771,,mock_source_v2,vol_export_final.csv
LUMINIS HEALTH,Luminis Health,Maryland,Neurological Svcs,Virginia Demo Market,Jul-Sep 2019,335,All Payer,mock_source_v2,vol_export_final.csv
UVA Healthcare,UVA Health,Charlottesville,card.,Virginia Demo Market,Jul-Sep 2019,905,All Payer,mock_source_v2,vol_export_final.csv
sentara hlth,Sentara Healthcare,Hampton Roads,OB/GYN,Virginia Demo Market,Q2-2022,1744,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
INOVA Loudoun,,Northern Virginia,ORTHOPEDICS,Virginia Demo Market,Q1-2019,641,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
SENTARA HEALTH,Sentara Healthcare,Hampton Roads,CARD,Virginia Demo Market,2023-Q4,1970,All Payer,mock_source_v2,vol_export_final.csv
Luminis Health,Luminis Health,Maryland,Oncology Services,Virginia Demo Market,Q1-2022,409,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
NovantHlth,Novant Health,Northern Virginia,neurology,Virginia Demo Market,Q2-2022,364,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
luminis health,Luminis Health,Maryland,BH,Virginia Demo Market,2021-Q1,209,Medicare,mock_source_v2,vol_export_final.csv
Bon Secours Mercy,Bon Secours Mercy Health,Richmond,Cardiac,Virginia Demo Market,Q4/2021,971,Medicare,mock_source_v2,provider_volume_2019_2023.csv
inova,Inova Health System,Northern Virginia,GASTROENTEROLOGY,Virginia Demo Market,Q1 2020,794,All Payer,mock_source_v2,vol_export_final.csv
Bon Secours Health,Bon Secours Mercy Health,Richmond,cardiology,Virginia Demo Market,Oct-Dec 2022,1012,All Payer,mock_source_v2,vol_export_final.csv
Bon Secours Mercy,Bon Secours Mercy Health,Richmond,ONC,Virginia Demo Market,Q4 2021,413,All Payer,mock_source_v2,vol_export_final.csv
Privia Hlth,Privia Health Group,Northern Virginia,onc.,Virginia Demo Market,Jan-Mar 2020,148,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
carilion clinic,Carilion Clinic,Roanoke,ortho,Virginia Demo Market,2019 Q3,733,Medicare,mock_source_v2,vol_export_final.csv
hca virginia,HCA Healthcare,Richmond,gastro,Virginia Demo Market,Q4-2020,498,,mock_source_v2,provider_volume_2019_2023.csv
vcu health,VCU Health System,Richmond,NEUROLOGY,Virginia Demo Market,Q4 2022,1657,Medicare,mock_source_v2,vol_export_final.csv
SENTARA,Sentara Healthcare,Hampton Roads,Cardiac,Virginia Demo Market,2023 Q3,1725,,mock_source_v2,vol_export_FINAL_v2.csv
bon secours,Bon Secours Mercy Health,Richmond,Cancer Services,Virginia Demo Market,Q1 2020,370,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Med Star,,DC Metro,cardiology,Virginia Demo Market,Apr-Jun 2021,1274,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
Med Star,MedStar Health,DC Metro,oncology,Virginia Demo Market,2022 Q1,973,All Payer,mock_source_v2,vol_export_final.csv
,,,,,,,,,
V.C.U. Health,,Richmond,Emergency,Virginia Demo Market,2023 Q1,1955,All Payer,mock_source_v2,provider_volume_2019_2023.csv
SENTARA,,Hampton Roads,Emergency Services,Virginia Demo Market,Q3-2019,2124,All Payer,mock_source_v2,vol_export_final.csv
UNIVERSITY OF VIRGINIA HEALTH,UVA Health,Charlottesville,Orthopedic,Virginia Demo Market,Q3-2019,947,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
VCU,VCU Health System,Richmond,EMERGENCY,Virginia Demo Market,Q1/2019,1774,All Payer,mock_source_v2,provider_volume_2019_2023.csv
UNIVERSITY OF VIRGINIA HEALTH,UVA Health,Charlottesville,Emerg Svcs,,Q1/2020,1338,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
medstar health,MedStar Health,DC Metro,ORTHOPEDICS,Virginia Demo Market,Q4 2023,1123,,mock_source_v2,vol_export_FINAL_v2.csv
MedStar,,DC Metro,neurology,Virginia Demo Market,Q2/2020,377,Medicare,mock_source_v2,provider_volume_2019_2023.csv
HCA VIRGINIA,HCA Healthcare,Richmond,ED,Virginia Demo Market,2020-Q2,,Unknown,mock_source_v2,vol_export_final.csv
Bon Secours Health,Bon Secours Mercy Health,Richmond,ER Services,Virginia Demo Market,Q3 2022,"1,476",All Payer,mock_source_v2,provider_volume_2019_2023.csv
Inova Loudoun,Inova Health System,Northern Virginia,BEHAVIORAL HEALTH,Virginia Demo Market,Q1 2023,188,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
Sentara Health,Sentara Healthcare,Hampton Roads,GI Services,Virginia Demo Market,Q2 2019,733,Commercial,mock_source_v2,vol_export_final.csv
Med Star,MedStar Health,DC Metro,cancer,Virginia Demo Market,2020 Q4,828,Medicare,mock_source_v2,provider_volume_2019_2023.csv
Bon Secours,Bon Secours Mercy Health,Richmond,ortho,Virginia Demo Market,Q2-2021,1246,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
PRIVIA,Privia Health Group,Northern Virginia,NEURO,Virginia Demo Market,Q2 2020,98,All Payer,mock_source_v2,vol_export_final.csv
hca hlth va,HCA Healthcare,Richmond,behavioral health,Virginia Demo Market,Jan-Mar 2019,305,Medicare,mock_source_v2,provider_volume_2019_2023.csv
Inova Loudoun Hospital,Inova Health System,Northern Virginia,NEUROLOGY,Virginia Demo Market,2019 Q1,305,,mock_source_v2,vol_export_FINAL_v2.csv
Virginia Commonwealth,VCU Health System,Richmond,neuro services,Virginia Demo Market,Apr-Jun 2019,1355,Commercial,mock_source_v2,vol_export_final.csv
bon secours,Bon Secours Mercy Health,Richmond,Emergency Services,,Q4 2021,1523,Medicare,mock_source_v2,vol_export_final.csv
VCU HEALTH,VCU Health System,Richmond,neurology,Virginia Demo Market,Q1 2020,1406,Unknown,mock_source_v2,vol_export_final.csv
Privia Hlth,Privia Health Group,Northern Virginia,Mental Health,Virginia Demo Market,Q4/2023,463,Medicare,mock_source_v2,provider_volume_2019_2023.csv
VCU HEALTH,VCU Health System,Richmond,neurology,Virginia Demo Market,Jul-Sep 2020,1182,Medicare,mock_source_v2,provider_volume_2019_2023.csv
Luminis Health,Luminis Health,Maryland,cardiac services,Virginia Demo Market,Apr-Jun 2020,272,All Payer,mock_source_v2,provider_volume_2019_2023.csv
Sentara Healthcare,Sentara Healthcare,Hampton Roads,emergency services,Virginia Demo Market,Oct-Dec 2020,2123,All Payer,mock_source_v2,vol_export_final.csv
Inova Fairfax,Inova Health System,Northern Virginia,neurology,Virginia Demo Market,2020-Q1,1080,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
SENTARA HEALTH,,Hampton Roads,Cardiac,Virginia Demo Market,Q1 2021,1655,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Privia Hlth,Privia Health Group,Northern Virginia,Neurological Svcs,Virginia Demo Market,Q1/2021,240,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
inova loudoun,Inova Health System,Northern Virginia,Emerg Svcs,Virginia Demo Market,Q2-2019,847,Unknown,mock_source_v2,provider_volume_2019_2023.csv
MedStar,MedStar Health,DC Metro,emergency services,Virginia Demo Market,Oct-Dec 2023,2170,,mock_source_v2,vol_export_FINAL_v2.csv
CARILION CLINIC,,Roanoke,BH,Virginia Demo Market,Q4-2020,316,Medicare,mock_source_v2,vol_export_final.csv
SENTARA HEALTH,Sentara Healthcare,Hampton Roads,GASTROENTEROLOGY,Virginia Demo Market,2022 Q3,772,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
UVA Health,UVA Health,Charlottesville,onc.,Virginia Demo Market,Jul-Sep 2023,1316,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
VCU Health,VCU Health System,Richmond,Womens Health,Virginia Demo Market,Q4 2021,864,Medicaid,mock_source_v2,vol_export_final.csv
LUMINIS HEALTH,,Maryland,Orthopedic,Virginia Demo Market,Q3/2019,647,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
HCA Healthcare VA,HCA Healthcare,Richmond,Emergency,Virginia Demo Market,Q4/2020,1968,,mock_source_v2,provider_volume_2019_2023.csv
sentara,Sentara Healthcare,Hampton Roads,EMERGENCY,Virginia Demo Market,2020 Q2,962,,mock_source_v2,vol_export_FINAL_v2.csv
Inova Loudoun Hospital,Inova Health System,Northern Virginia,ORTHO,Virginia Demo Market,Q2/2023,821,Commercial,mock_source_v2,provider_volume_2019_2023.csv
Inova Loudoun Hospital,Inova Health System,Northern Virginia,Gastro,Virginia Demo Market,Q1-2019,245.0,All Payer,mock_source_v2,vol_export_final.csv
hca virginia,HCA Healthcare,Richmond,GASTROENTEROLOGY,Virginia Demo Market,Q1-2020,489,,mock_source_v2,vol_export_FINAL_v2.csv
Bon Secours Mercy,Bon Secours Mercy Health,Richmond,Psychiatry,Virginia Demo Market,2021-Q1,210,Unknown,mock_source_v2,vol_export_final.csv
novant health,Novant Health,Northern Virginia,Mental Health,Virginia Demo Market,2023 Q4,258,Medicaid,mock_source_v2,vol_export_final.csv
vcu health,VCU Health System,Richmond,WOMENS HEALTH,,2023 Q1,850,,mock_source_v2,vol_export_final.csv
InOva,,Northern Virginia,Cardiac,Virginia Demo Market,2020 Q1,2180,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Sentara Healthcare,Sentara Healthcare,Hampton Roads,Women's Health,Virginia Demo Market,2021-Q4,1606,Medicare,mock_source_v2,provider_volume_2019_2023.csv
MEDSTAR,,DC Metro,Neurological Svcs,Virginia Demo Market,Q2-2023,901,All Payer,mock_source_v2,vol_export_final.csv
HCA,,Richmond,Emergency Services,Virginia Demo Market,Q3/2023,2310.0,Medicare,mock_source_v2,vol_export_final.csv
VCU HEALTH,VCU Health System,Richmond,orthopaedics,Virginia Demo Market,Q3-2021,1113,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
HCA Healthcare VA,HCA Healthcare,Richmond,behavioral health,Virginia Demo Market,Q3-2021,319,Medicare,mock_source_v2,provider_volume_2019_2023.csv
VCU HEALTH,VCU Health System,Richmond,ORTHO,Virginia Demo Market,Q2/2022,1072,Medicare,mock_source_v2,vol_export_final.csv
BSMH,Bon Secours Mercy Health,Richmond,onc.,Virginia Demo Market,Q4 2023,413,All Payer,mock_source_v2,provider_volume_2019_2023.csv
hca virginia,HCA Healthcare,Richmond,Behavioral Health,Virginia Demo Market,Q4/2022,359,Commercial,mock_source_v2,vol_export_final.csv
Carilion Health,Carilion Clinic,Roanoke,NEUROLOGY,Virginia Demo Market,2020-Q2,325,Unknown,mock_source_v2,provider_volume_2019_2023.csv
Luminis Hlth,Luminis Health,Maryland,NEURO,Virginia Demo Market,Jul-Sep 2020,280,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
Virginia Commonwealth,VCU Health System,Richmond,ORTHO,Virginia Demo Market,Q2-2019,1052,Unknown,mock_source_v2,provider_volume_2019_2023.csv
hca hlth va,HCA Healthcare,Richmond,emergency services,Virginia Demo Market,2022-Q2,2139,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
BSMH,,Richmond,Womens Health,,2020 Q2,608,Unknown,mock_source_v2,provider_volume_2019_2023.csv
Novant,Novant Health,Northern Virginia,Womens Health,Virginia Demo Market,2023-Q3,830,Commercial,mock_source_v2,vol_export_final.csv
PRIVIA,Privia Health Group,Northern Virginia,neuro services,Virginia Demo Market,Q3/2019,198,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
VCU Medical Center,VCU Health System,Richmond,Heart Services,Virginia Demo Market,2021-Q1,1189,All Payer,mock_source_v2,provider_volume_2019_2023.csv
sentara,Sentara Healthcare,Hampton Roads,Gastroenterology,Virginia Demo Market,2022-Q2,missing,All Payer,mock_source_v2,vol_export_final.csv
LUMINIS,Luminis Health,Maryland,Musculoskeletal,TBD,Oct-Dec 2022,566,,mock_source_v2,vol_export_FINAL_v2.csv
HCA Healthcare VA,HCA Healthcare,Richmond,Orthopedic,Virginia Demo Market,2019-Q2,1417,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
vcu,VCU Health System,Richmond,neuro services,Virginia Demo Market,Q1/2021,1603,Medicare,mock_source_v2,vol_export_final.csv
privia health,Privia Health Group,Northern Virginia,gi services,Virginia Demo Market,Oct-Dec 2020,241,Medicaid,mock_source_v2,provider_volume_2019_2023.csv
sentara,Sentara Healthcare,Hampton Roads,Musculoskeletal,Virginia Demo Market,2023-Q3,1811 cases,,mock_source_v2,vol_export_FINAL_v2.csv
hca virginia,HCA Healthcare,Richmond,ONC,Virginia Demo Market,Q2/2020,,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
LUMINIS,Luminis Health,Maryland,emergency services,Virginia Demo Market,Q4 2021,990,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
VCU,VCU Health System,Richmond,GASTROENTEROLOGY,Virginia Demo Market,Jul-Sep 2023,659,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
UVA Health,UVA Health,Charlottesville,womens hlth,Virginia Demo Market,2019 Q3,958,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
BSMH,Bon Secours Mercy Health,Richmond,Psychiatry,Virginia Demo Market,Q3/2022,225,Medicare,mock_source_v2,vol_export_final.csv
Luminis Hlth,Luminis Health,Maryland,cardiology,Virginia Demo Market,Q1-2022,689,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
SENTARA,Sentara Healthcare,Hampton Roads,Emerg Svcs,Virginia Demo Market,2023 Q1,2936,All Payer,mock_source_v2,provider_volume_2019_2023.csv
HCA Healthcare VA,HCA Healthcare,Richmond,emergency services,Virginia Demo Market,Q4-2023,2385,All Payer,mock_source_v2,provider_volume_2019_2023.csv
MedStar,MedStar Health,DC Metro,behav hlth,Virginia Demo Market,Apr-Jun 2020,245,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
NOVANT,Novant Health,Northern Virginia,onc.,Virginia Demo Market,Jan-Mar 2023,325,All Payer,mock_source_v2,provider_volume_2019_2023.csv
NOVANT HEALTH,Novant Health,Northern Virginia,G.I.,Virginia Demo Market,Oct-Dec 2022,318,All Payer,mock_source_v2,provider_volume_2019_2023.csv
UVA Healthcare,UVA Health,Charlottesville,card.,Virginia Demo Market,2022-Q3,966,Medicaid,mock_source_v2,vol_export_FINAL_v2.csv
MedStar Health,MedStar Health,DC Metro,ONC,Virginia Demo Market,2023-Q1,978,All Payer,mock_source_v2,provider_volume_2019_2023.csv
uva health,UVA Health,Charlottesville,oncology,Virginia Demo Market,2022-Q3,1380,Unknown,mock_source_v2,vol_export_FINAL_v2.csv
UNIVERSITY OF VIRGINIA HEALTH,UVA Health,Charlottesville,Oncology Services,Virginia Demo Market,2021 Q4,1275,,mock_source_v2,vol_export_FINAL_v2.csv
Privia Hlth,Privia Health Group,Northern Virginia,cancer,Virginia Demo Market,Q2-2019,147,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
Inova Fairfax,Inova Health System,Northern Virginia,Gastro,Virginia Demo Market,Q2 2023,1035,All Payer,mock_source_v2,vol_export_FINAL_v2.csv
CARILION CLINIC,Carilion Clinic,Roanoke,cancer,Virginia Demo Market,Q4-2021,642,Unknown,mock_source_v2,provider_volume_2019_2023.csv
PRIVIA,Privia Health Group,Northern Virginia,Women's Health,Virginia Demo Market,Oct-Dec 2020,465,Medicaid,mock_source_v2,vol_export_final.csv
BSMH,Bon Secours Mercy Health,Richmond,Orthopedics,Virginia Demo Market,Q2/2019,1248,All Payer,mock_source_v2,provider_volume_2019_2023.csv
medstar health,MedStar Health,DC Metro,E.D.,Virginia Demo Market,Jan-Mar 2021,2097,All Payer,mock_source_v2,vol_export_final.csv
SENTARA,Sentara Healthcare,Hampton Roads,Behavioral Health,Virginia Demo Market,Q4/2021,455,Medicaid,mock_source_v2,vol_export_final.csv
Privia Health,Privia Health Group,Northern Virginia,ED,Virginia Demo Market,2020-Q1,107,All Payer,mock_source_v2,provider_volume_2019_2023.csv
PRIVIA HEALTH GROUP,Privia Health Group,Northern Virginia,Heart Services,Virginia Demo Market,2023-Q4,628,Medicare,mock_source_v2,vol_export_FINAL_v2.csv
MEDSTAR,MedStar Health,DC Metro,Emergency Services,Virginia Demo Market,Q3 2022,1879,Medicare,mock_source_v2,provider_volume_2019_2023.csv
VCU Medical Center,VCU Health System,Richmond,Gastroenterology,Virginia Demo Market,2019-Q3,605,Unknown,mock_source_v2,vol_export_final.csv
Bon Secours Health,Bon Secours Mercy Health,Richmond,OB/GYN,Virginia Demo Market,2019-Q4,1250,Medicare,mock_source_v2,provider_volume_2019_2023.csv
CARILION CLINIC,Carilion Clinic,Roanoke,Emerg Svcs,Virginia Demo Market,Q4-2023,"1,192",Commercial,mock_source_v2,provider_volume_2019_2023.csv
